Russian Federation,1.66958E+12,1.69988E+12
Rwanda,9635951160,10354417725
Samoa,821496064.5,852250191
San Marino,1655300873,
Sao Tome and Principe,412261829.6,418637389
Saudi Arabia,7.86522E+11,7.92967E+11
Senegal,23236007428,23578084052
Serbia,50640650221,51475016532
Seychelles,1586009000,1703387387
Sierra Leone,4085114794,4121733705
Singapore,3.73217E+11,3.72063E+11
Sint Maarten (Dutch part),1185474860,
Slovak Republic,1.05702E+11,1.0508E+11
Slovenia,54161636035,54174227309
Solomon Islands,1593964162,1589913622
Somalia,,
South Africa,3.68289E+11,3.51432E+11
South Sudan,,
Spain,1.42215E+12,1.39349E+12
Sri Lanka,88425889592,84008783756
St. Kitts and Nevis,1010822222,1053244444
St. Lucia,2065875074,2122450630
St. Martin (French part),,
St. Vincent and the Grenadines,811300000,824718518.5
Sudan,33128480499,30513456085
Suriname,3464656616,3697371950
Sweden,5.55455E+11,5.30884E+11
Switzerland,7.05141E+11,7.03082E+11
Syrian Arab Republic,,
Tajikistan,7522947810,8116626794
Tanzania,58001200572,63177068175
Thailand,5.06514E+11,5.43549E+11
Timor-Leste,1559894900,2017924900
Togo,5364369026,5490272413
Tonga,489235527.4,512350059.4
Trinidad and Tobago,23808146748,24269714810
Tunisia,39770297329,38796687568
Turkey,7.78382E+11,7.61425E+11
Turkmenistan,40761142857,
Turks and Caicos Islands,1113178000,1197415000
Tuvalu,42588164.97,47271463.33
Uganda,32916147253,35165157017
Ukraine,1.30902E+11,1.53781E+11
United Arab Emirates,4.22215E+11,4.21142E+11
United Kingdom,2.86067E+12,2.82911E+12
United States,2.05802E+13,2.14332E+13
Uruguay,59596885024,56045912953
Uzbekistan,50392607758,57921286440
Vanuatu,914700508.2,934239973.8
"Venezuela, RB",,
Vietnam,2.45214E+11,2.61921E+11
Virgin Islands (U.S.),,
West Bank and Gaza,16276600000,
"Yemen, Rep.",23486270352,22581081994
Zambia,26312140829,23309773923
Zimbabwe,24311560500,21440758800
